gender,age,height_in_cm,marital_status,education,profession,religion,language,community,city,country,food_preferences,drinks,smokes,skin_tone,build,category
F,30,162,NeverMarried,Honoursdegree-Commerce,CompanySecretary,Hindu,Bengali,Brahmin-Kulin,Delhi,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,24,157,NeverMarried,Masters-Commerce,AccountingProfessional,Hindu,Odia,Brahmin-Halua,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,24,162,NeverMarried,Associatesdegree-Computers/IT,Notworking,Hindu,Kannada,Lambani,Shivamogga,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,5
F,27,157,NeverMarried,Masters-Education,Teacher,Hindu,Hindi,Jatav,Meerut,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,5
F,23,157,NeverMarried,Bachelors-Commerce,FinanceProfessional,Hindu,Hindi,Brahmin-Saryuparin,Rewa,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,26,162,NeverMarried,Undergraduate-Commerce,FinanceProfessional,Hindu,Telugu,AryaVysya,Chennai,India,Eggetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,3
F,28,157,NeverMarried,Masters-Computers/IT,NotSpecified,Hindu,Hindi,Brahmin-Bhumihar,Ghaziabad,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,30,157,Divorced,Highschool-Officeadministration,CompanySecretary,Hindu,Hindi,Kayastha,Raipur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,HeavyBuild,5
F,28,154,NeverMarried,Masters-Arts,SocialWorker/Volunteer/NGO,Hindu,Odia,Khandayat,Nayagarh,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Darkskinned,AverageBuild,3
F,24,157,NeverMarried,Honoursdegree-Science,Notworking,Muslim,Urdu,SunniHanafi,Patna,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,3
F,30,157,NeverMarried,Bachelors-Engineering/Technology,Notworking,Christian,Malayalam,LatinCatholic,Thiruvananthapuram,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,27,160,NeverMarried,Masters-Education,Teacher,Hindu,Marathi,Maratha,Pune,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,21,162,NeverMarried,Bachelors-Engineering/Technology,Notworking,Hindu,Telugu,Devanga,Nellore,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,3
F,22,165,NeverMarried,Bachelors-Engineering/Technology,NonITEngineer,Muslim,Urdu,SunniHanafi,Patna,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,3
F,32,165,NeverMarried,Bachelors-Arts,Writer,Hindu,Sindhi,Sindhi-Sahiti,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,3
F,27,157,NeverMarried,Masters-Management,HumanResourcesProfessional,Hindu,Hindi,Brahmin-Kanyakubja,Sitapur,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,5
F,34,152,NeverMarried,Bachelors-FineArts,Agent/Broker/Trader/Contractor,Hindu,Punjabi,Arora,Ludhiana,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,6
F,23,154,NeverMarried,Bachelors-Education,Notworking,Jain,Hindi,Digambar,Mandla,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,26,162,NeverMarried,Bachelors-ArmedForces,Army,Hindu,Hindi,Jat,Rohtak,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,5
F,42,134,Divorced,Lessthanhighschool-Arts,Notworking,Hindu,Bengali,Vishwakarma,Kolkata,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AthleticBuild,7
F,31,165,NeverMarried,Undergraduate-Travel&amp,Tourism,NotSpecified,Hindu,Hindi,Ahmedabad,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,2
F,31,160,NeverMarried,Bachelors-Commerce,HumanResourcesProfessional,Hindu,Malayalam,Ezhava,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,5
F,22,162,NeverMarried,Masters-Engineering/Technology,NotSpecified,Sikh,Punjabi,Saini,Chandigarh,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,3
F,37,165,NeverMarried,Masters-Management,Consultant/Supervisor/TeamLeads,Hindu,Gujarati,Rajput,Vadodara,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,2
F,25,160,NeverMarried,Masters-Management,AdminProfessional,Muslim,Urdu,Shia,Akbarpur,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,3
F,24,157,NeverMarried,Masters-Engineering/Technology,SoftwareDeveloper/Programmer,Hindu,Hindi,Kayastha,Bareilly,India,Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,5
F,25,157,NeverMarried,Bachelors-Fashion,Designer,Hindu,Kannada,Brahmin-Madhwa,Mumbai,India,OccasionallyNon-Vegetarian,DrinksOccasionally,DoesntSmoke,Fairskinned,AverageBuild,5
F,25,152,NeverMarried,Masters-Management,HumanResourcesProfessional,Hindu,Hindi,Baniya,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,25,167,NeverMarried,Honoursdegree-Education,Teacher,Hindu,Hindi,Kshatriya,Patna,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,AverageBuild,5
F,39,167,Divorced,Masters-Education,Notworking,Hindu,Hindi,Kayastha,Ahmedabad,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,SlimBuild,2
